Sample,RIN,Storage at -80°C (months),Collection Time
Spleen preserved in RNAlater,> 8,1,≤100 minutes
≥ 8.5,3.5,≤25 minutes
≥ 8.5,11,≤5 minutes
Liver frozen on dry ice,≥ 7,1,≤85 minutes
≥ 8.5,4.5,≤25 minutes
≥ 8.5,11,≤5 minutes
Sample,RIN,Storage at -80°C (months),Collection Time After Removal from -80°C Freezer
WC: spleen dissected after carcass storage at -80°C,> 5,2.5,≤5 minutes
> 5,4,≤5 minutes
> 4,6 to 7,≤5 minutes
WC: liver dissected after carcass storage at -80°C,> 6.5,2.5,≤5 minutes
> 8,4,≤5 minutes
> 7.5,6 to 7,≤5 minutes
