,WT HSC → WT,WT HSC →KitW/W-v
Bone area/tissue area (%),8.2 ± 0.5,8.7 ± 1.2
Mineralizing perimeter/bone perimeter (%),6.5 ± 1.0,6.0 ± 1.4
Mineral apposition rate (µm/d),1.07 ± 0.10,1.16 ± 0.08
Bone formation rate/bone perimeter (μm3/μm2/y),27.0 ± 5.8,28.2 ± 8.3
Bone formation rate/bone volume (%/y),144.1 ± 31.5,141.6 ± 36.5
Bone formation rate/tissue volume (%/y),11.8 ± 2.8,13.7 ± 4.2
Osteoclast perimeter/bone perimeter (%),6.5 ± 1.5,6.1 ± 1.6
Osteoblast perimeter/bone perimeter (%),7.7 ± 1.5,11.1 ± 2.1
Adipocyte area/tissue area (%),8.9 ± 1.1,0.2 ± 0.1a
Adipocyte density (#/mm2),92.5 ± 10.0,1.8 ± 1.2a
Adipocyte size (µm2),943 ± 34,927 ± 334 *
