Variable,Female,Male,Sex,Temperature,Sex × temperature
Study completion (18 weeks old),Study completion (16 weeks old),Pvalue,Pvalue,Pvalue
22°C,32°C,22°C,32°C
Total femur
Length (mm),14.9 ± 0.1,14.8 ± 0.2,15.1 ± 0.1,15.1 ± 0.1,0.048,NS,NS
Bone volume (mm3),16.6 ± 0.5,17.6 ± 0.6,18.5 ± 0.3,19.6 ± 0.2,0.000,0.055,NS
Femur diaphysis
Cortical thickness (µm),192 ± 3,202 ± 4,189 ± 1,194 ± 1,NS,0.002,NS
Distal femur metaphysis
Cancellous bone volume fraction (%),3.5 ± 0.4,9.9 ± 0.6,9.7 ± 0.6,15.4 ± 0.8,0.000,0.000,NS
Trabecular number (1/mm),3.6 ± 0.1,4.7 ± 0.1,4.9 ± 0.1,5.8 ± 0.1,0.000,0.000,NS
Trabecular thickness (µm),38 ± 1,45 ± 1,43 ± 1,44 ± 1,NS,0.007,NS
Adipocyte area (%),4.4 ± 1.0,10.7 ± 1.4a,0.3 ± 0.1,0.8 ± 0.3,–,–,0.005
Adipocyte density (#/mm2),101 ± 24,196 ± 22a,12 ± 2,16 ± 4,–,–,0.02
Adipocyte size (µm2),472 ± 39,552 ± 51,249 ± 24,355 ± 66,0.000,0.091,NS
Mineralizing perimeter/bone perimeter (%),24.4 ± 2.9,40.8 ± 1.8,15.8 ± 1.5,30.0 ± 1.4,0.000,0.000,NS
Mineral apposition rate (µm/day),2.2 ± 0.1,2.0 ± 0.0,1.6 ± 0.2,1.7 ± 0.1,0.004,NS,NS
Bone formation rate/bone perimeter (µm2/µm/year),190 ± 25,301 ± 17,92 ± 12,180 ± 13,0.000,0.000,NS
Osteoblast perimeter/bone perimeter (%),17.7 ± 1.8,33.6 ± 2.0,15.8 ± 1.9,30.4 ± 1.6,NS,0.000,NS
Osteoclast perimeter/bone perimeter (%),27.1 ± 3.0,13.1 ± 1.7a,6.7 ± 1.6,4.7 ± 1.0,–,–,0.009
