Fungal phylum,Fungal family,Number of sequences
Bedroom,Kitchen,Bathroom,Lab
Total,Viable,Total,Viable,Total,Viable,Total,Viable
Ascomycota,Capnodiales,215,,26,121,,,5,4355
Chaetomiaceae,171,32858,1668,,2073,,5541,1212
Cucurbitariaceae,1186,16,2782,739,1248,57,1545,1415
Davidiellaceae,71145,17039,40120,35104,53460,496,58969,21888
Dothioraceae,4821,5774,161,286,172,9708,12970,98
Herpotrichiellaceae,68,4,93,4,134,7,1407,28
Hypocreaceae,979,11,4622,93,2095,10909,4133,204
Hypocreales,9471,5617,8792,408,1712,12,5169,90
Lophiostomataceae,30,21,71,19,9,,1878,4
Microascaceae,3086,3,6642,3,18317,3,23,6
Montanulaceae,9231,116,5112,520,24292,68,7141,226
Nectriaceae,216,1374,5618,3,1542,18,6177,866
Phaeosphaeriaceae,1360,131,4209,55,6150,18,4318,30819
Pleosporaceae,223517,357893,195638,299314,247789,199402,626137,457349
Pleosporales,5933,4284,6768,590,7339,644,10668,10900
Saccharomycetales,1904,1658,18978,10681,10035,49,29496,154
Teratosphaeriaceae,94,,55,9,13,8,932,44763
Trichocomaceae,5453,1,11611,1167,8735,2236,10860,11102
Others (20),1835,5,494,12,530,16,365,26
Unclassified,2007,426,5203,468,668,3105,5831,3644
Basidiomycota,Filobasidiaceae,3624,2198,935,120,8171,4412,8259,47
Peniophoraceae,,,45,9922,79,,1,994
Polyporales,1,,,,,,1339,
Sporidiobolales,33860,24869,15193,173,10398,299,7923,564
Tremellales,47729,17080,26291,2479,9002,1165,69144,2912
Unclassified,1999,34,525,2172,1144,67,1459,953
Unclassified,Unclassified,37959,13825,17047,26040,22401,6260,29713,45931
