Gene Symbol,Gene Name,Fold Regulation
Nox1,NADPH oxidase 1,6.62
Tpo,Thyroid peroxidase,2.35
Slc41a3,"Solute carrier family 41, member 3",1.97
Txnip,Thioredoxin interacting protein,1.94
Prnp,Prion protein,1.44
Txnrd3,Thioredoxin reductase 3,1.43
Gsr,Glutathione reductase,1.31
Prdx6,Peroxiredoxin 6,1.23
Cat,Catalase,1.20
Xpa,"Xeroderma pigmentosum, complementation group A",1.18
Sod1,"Superoxide dismutase 1, soluble",1.18
Ncf2,Neutrophil cytosolic factor 2,−1.49
Fancc,"Fanconi anemia, complementation group C",−1.62
Ptgs2,Prostaglandin-endoperoxide synthase 2,−3.44
