,Edible,Inedible,Inedible
,biomass,biomass DW,biomass DW
Crop,DW ratio,ratio (roots),ratio (stems/leaves)
name,(%),(%),(%)
Batavia,5.79 ± 0.30,3.90 ± 1.26,n.a.
,N= 12,N= 3,
Expertise,6.09 ± 0.34,4.57 ± 1.18,n.a.
,N= 12,N= 3,
Outredgeous,6.61 ± 0.35,4.82 ± 0.92,n.a.
,N= 12,N= 3,
Waldmann’s Green,6.35 ± 0.44,2.69 ± 0.29,n.a.
,N= 12,N= 3,
Red Giant,6.09 ± 0.13,4.07,6.43
,N= 17,N= 1,N= 1
Frizzy Lizzy,6.04 ± 0.13,4.07,5.53
,N= 17,N= 1,N= 1
Swiss Chard,7.16 ± 0.12,10.08 ± 3.09,6.26 ± 1.74
,N= 10,N= 3,N= 4
Arugula,6.52 ± 0.40,4.24 ± 0.21,n.a.
,N= 16,N= 6,
Mizuna,6.37 ± 0.49,Not measured,Not measured
,N= 3,,
Basil Dolly,8.64 ± 0.31,3.18 ± 1.03,6.02 ± 2.48
,N= 19,N= 2,N= 2
Parsley,10.93 ± 0.09,7.15,Not measured
,N= 10,N= 1,
Chives,8.84 ± 0.10,7.15,Not measured
,N= 10,N= 1,
Tomato F1 3496B,12.66 ± 0.29,10.21 ± 1.16,25.43 ± 1.15
,N= 13,N= 4,N= 10
Tomato F1 1202,13.36 ± 0.75,9.63 ± 1.04,28.35 ± 3.94
,N= 13,N= 4,N= 10
Cucumber Picowell,4.43 ± 0.13,3.20 ± 0.39,16.51 ± 0.88
,N= 18,N= 4,N= 11
Radish Raxe,5.79 ± 0.17,0.59 ± 0.06,8.09 ± 0.35
,N= 15,N= 3,N= 18
Radish Lennox,Not measured,Not measured,Not measured
Kohlrabi,7.17 ± 0.35,3.78 ± 0.51,Leaves:
,N= 5,N= 4,9.49 ± 0.26
,,,N= 8
,,,Skin:
,,,7.97 ± 0.28
,,,N= 6
