NFWR,Limb sampled,Colony Forming Units,Closest match
134,Right Front*,TNTC,Aeromonas sobria
,Right Back,15,Aeromonas sobria;Pseudomonas stutzeri;Riemerella anatipestifer⧫; Unidentified Gram positive species
135,Right Back,TNTC,Kocuria varians;Microbacterium luteolum⧫;Pseudomonas stutzeri;Pseudomonas aeruginosa
,Right Front,TNTC,Roseomonas cervicalis⧫;Pseudomonas alcaligenes;Brevundimonas diminuta/vesicularis
,Left Back,TNTC,Aeromonas sobria(3 morphologically different colonies)
,Left Front,TNTC,Kocuria rosea;Kocuria kristinae;Aeromonas sobria;Pseudomonas stutzeri
136,Left Front,TNTC,Pseudomonas stutzeri⧫;Acinetobacter baumannii;Kocuria varians;Stenotrophomonas maltophilia(2 morphologically different colonies)
,Left Back,TNTC,Aerococcus viridans;Aeromonas veronii⧫;
,,,Delftia acidovorans;Streptococcus pneumoniae
,Right Back,TNTC,Exiguobacterium acetylicum⧫;Acenitobacter baumannii;Aeromonas sobria; Kocuria varians(2 morphologically different colonies)
137,Right Front,TNTC,Kocuria kristinae(2 morphologically different colonies);Kocurea rosea; Unidentified species - unable to isolate (3 morphologically different colonies); Unidentified Gram positive species
,Right Back,TNTC,Roseomonas cervicalis⧫;Kocuria rosea;Kocuria varians;Myroidesspecies
,Left Front,TNTC,Aeromonas sobria;Brevundimonas diminuta/vesicularis;Kocuria rosea
138,Left Front,10,Sphingomonas aurantiaca; Unidentified species - unable to isolate; Unidentified Gram positive species
,Left Back*,12,Brevundimonas diminuta/vesicularis;Kocuria varians;Sphingomonas paucimobilis
139,Lower Lip,163,Granulicatella adiacens;Aeromonas hydrophila/caviae;Bacillus sphaericus/fusiformis;Rhizobium radiobacter
,Left Front,28,Bacillus lentus;Geobacillus thermoglucosidasius/thermodenitrificans;Micrococcus luteus/lytae;Rhizobium radiobacter;Bacillusspecies
,Right Front,11,Sphingomonas paucimobilis; Unidentified Gram positive species;Kocuria kristinae;Brevundimonas diminuta/vesicularis;Dermacoccus/Kytococcusspecies
,Right Back,19,Aeromonas sobria;Micrococcus luteus⧫; Unidentified Gram negative species;Kocuria kristinae;Rhizobium radiobacter;Ewingella Americana;Brachybacterium alementarium⧫;Sphingomonas paucimobilis;Gordonia terrae⧫
