,WT HSC → WT,WT HSC →KitW/W-v
Densitometry,,
Bone area (cm2),0.44 ± 0.00,0.42 ± 0.01
BMC (g),0.022 ± 0.000,0.020 ± 0.000
BMD (g/cm2),0.050 ± 0.001,0.048 ± 0.001
microComputed Tomography,,
Total femur,,
Length (mm),15.3 ± 0.1,15.4 ± 0.1
Bone volume (mm3),18.98 ± 0.29,18.44 ± 0.30
Midshaft femur (cortical bone),,
Cross-sectional volume (mm3),0.35 ± 0.00,0.32 ± 0.01a
Cortical volume (mm3),0.19 ± 0.00,0.18 ± 0.002a
Marrow volume (mm3),0.16 ± 0.00,0.14 ± 0.004a
Cortical thickness (µm),210 ± 2,213 ± 2
Ipolar(mm4),0.27 ± 0.01,0.23 ± 0.01a
Distal femur metaphysis (cancellous bone),,
Bone volume/tissue volume (%),8.5 ± 0.6,10.0 ± 0.7
Connectivity density (1/mm3),55.0 ± 4.3,93.0 ± 9.3a
Trabecular number (1/mm),4.1 ± 0.1,4.4 ± 0.1
Trabecular thickness (µm),47 ± 1,45 ± 1
Trabecular spacing (µm),253 ± 5,239 ± 8
Distal femur epiphysis (cancellous bone),,
Bone volume/tissue volume (%),26.0 ± 0.5,26.3 ± 0.5
Connectivity density (1/mm3),141.1 ± 5.2,114.0 ± 5.3a
Trabecular number (1/mm),5.5 ± 0.1,5.4 ± 0.1
Trabecular thickness (µm),57 ± 0,58 ± 1
Trabecular spacing (µm),180 ± 4,190 ± 4
