Antibioticb,Unit (/ml),IC50
A,μ,AUC
FL,GC,Pvalue,FL,GC,Pvalue,FL,GC,Pvalue
6-MP,μg,82.7 ± 32.1,97.1 ± 13.2,0.513,98 ± 8,100 ± 11,0.778,97 ± 5.9,97 ± 12.1,0.981
CIP,ng,35.2 ± 3.1,40.6 ± 2.9,0.091,19.6 ± 2.9,16.5 ± 3.9,0.335,24.5 ± 3.7,26.6 ± 1.0,0.422
ENX,μg,1.59 ± 0.22,1.52 ± 0.35,0.783,0.84 ± 0.05,1.07 ± 0.1,0.056,1.45 ± 0.04,1.54 ± 0.07,0.106
LVX,ng,44.6 ± 3.0,36.5 ± 7.5,0.155,30.4 ± 5.9,41.6 ± 14.2,0.305,23.3 ± 13,39.2 ± 12,0.197
LMX,ng,208 ± 36,232 ± 52,0.540,193 ± 8.2,187 ± 53,0.862,240 ± 40,234 ± 38,0.863
NAL,μg,3.41 ± 0.46,3.23 ± 0.13,0.761,1.5 ± 0.04,1.8 ± 0.7,0.481,3.04 ± 0.88,3.02 ± 0.72,0.976
NVB,ng,494 ± 45,462 ± 24,0.332,407 ± 28,407 ± 42,0.975,455 ± 61,440 ± 68,0.790
OXO,ng,137 ± 14,125 ± 4.7,0.269,125 ± 45,88 ± 2.3,0.289,114 ± 11,107 ± 21,0.658
OFL,ng,101 ± 5.1,94 ± 5.7,0.169,86 ± 5.7,88 ± 22,0.875,105 ± 5,106 ± 3,0.804
TPZ,μg,27.2 ± 6.4,26.3 ± 3.2,0.841,19.6 ± 1.9,20.5 ± 0.2,0.538,20.3 ± 0.1,19.6 ± 0.5,0.132
