Sub Pathway,Biochemical Name,1 G OLP 26 D (GC)/OSM 26 D,SPACE OLP 26 D/OSM 26 D,SPACE OLP 26 D/1 G OLP 26 D (GC)
"Glycolysis, Glyconeogenesis and pyruvate metabolism",Pyruvate,17.56,7.1,0.4
Lactate,28.71,32.84,1.14
Glycerate,0.49,0.96,1.97
TCA Cycle,Citrate,7.55,7.06,0.94
Aconitate (cis or trans),13.78,14.06,1.02
Alppha keto-glutarate,1.40,1.93,1.38
Succinate,2.45,4.07,1.66
Fumarate,2.8,8.84,3.16
Malate,3.81,4.69,1.23
Itaconate,1.0,1.65,1.24
Tricarballylate,0.96,1.06,1.11
2-Methylcitrate/Honocitrate,0.73,1.13,1.44
Mesaconate,0.96,2.0,2.09
Citraconate/gluconate,0.88,2.02,2.31
Oxydative Phosphorylation,Phosphate,3.59,1.3,0.36
