,Bacteria,Set 1,Set 2,Set 3,Set 4,Set 5,Set 6
N2,OP50,93 ± 35,81 ± 28,67 ± 31,121 ± 38,265 ± 112,112 ± 30
CBX151,212 ± 34,243 ± 67,269 ± 45,220 ± 28,NAb,NA
mCeMbio,212 ± 122,322 ± 194,354 ± 100,346 ± 132,NA,NA
JUb19,193 ± 43,129 ± 47,124 ± 42,81 ± 41,NA,NA
JUb101,143 ± 32,NA,NA,NA,218 ± 49,187 ± 100
bus-8,OP50,25 ± 4,29 ± 3,28 ± 3,32 ± 5,30 ± 7,30 ± 6
CBX151,Unable to test
mCeMbio,39 ± 10,37 ± 8,38 ± 7,50 ± 21,NA,NA
JUb19,34 ± 11,42 ± 5,31 ± 4,39 ± 11,NA,NA
JUb101,32 ± 5,NA,NA,NA,34 ± 11,26 ± 4
dpy-10,OP50,145 ± 66,151 ± 105,178 ± 117,90 ± 48,242 ± 159,193 ± 123
CBX151,409 ± 157,481 ± 141,541 ± 86,486 ± 143,NA,NA
mCeMbio,303 ± 132,242 ± 51,216 ± 141,396 ± 117,NA,NA
JUb19,297 ± 126,143 ± 82,289 ± 158,296 ± 139,NA,NA
JUb101,280 ± 102,NA,NA,NA,504 ± 193,391 ± 176
