Gene,DAY1,DAY 7,DAY 14
CT,H30,H100,V30,V100,CT,H30,H100,V30,V100,CT,H30,H100,V30,V100
BMPR2,1.0,1.8,1.9,1.5,1.8,1.0,1.9,2.1,1.6,1.9,1.0,2.1,2.4,1.7,2.1
BMP7,1.0,1.5,1.8,1.3,1.5,1.0,1.7,2.0,1.5,1.7,1.0,2.0,2.4,1.7,2.0
BGLAP,1.0,1.5,1.7,1.3,1.5,1.0,1.7,2.0,1.5,1.7,1.0,1.9,2.4,1.6,2.0
BMPR1A,1.0,1.5,1.7,1.3,1.5,1.0,1.7,1.9,1.5,1.7,1.0,1.9,2.3,1.7,1.9
CACNA1H,1.0,1.5,1.8,1.3,1.6,1.0,1.7,2.0,1.3,1.7,1.0,1.9,2.2,1.5,1.9
CREB1,1.0,1.2,1.5,1.2,1.3,1.0,1.4,1.8,1.2,1.5,1.0,1.6,2.1,1.3,1.8
CREBBP,1.0,1.2,1.5,1.2,1.3,1.0,1.4,1.7,1.3,1.5,1.0,1.6,2.0,1.4,1.7
ECM1,1.0,1.3,1.6,1.1,1.3,1.0,1.3,1.8,1.2,1.4,1.0,1.5,2.2,1.2,1.6
FGF1,1.0,1.5,1.8,1.2,1.6,1.0,1.7,2.0,1.3,1.7,1.0,1.9,2.2,1.5,1.9
FN1,1.0,1.5,1.9,1.2,1.3,1.0,1.6,2.1,1.4,1.5,1.0,1.7,2.4,1.5,1.6
LAMA1,1.0,1.5,1.6,1.3,1.5,1.0,1.7,1.9,1.4,1.8,1.0,1.9,2.4,1.6,2.0
LRFN5,1.0,1.5,1.8,1.2,1.5,1.0,1.7,2.0,1.4,1.7,1.0,2.0,2.3,1.6,2.0
FOXO1,1.0,1.5,1.7,1.3,1.5,1.0,1.7,2.0,1.5,1.8,1.0,2.0,2.3,1.7,2.0
FRZB,1.0,1.5,1.8,1.3,1.5,1.0,1.7,2.0,1.4,1.7,1.0,1.9,2.3,1.5,1.9
FZD1,1.0,1.6,1.7,1.4,1.6,1.0,1.7,1.9,1.5,1.8,1.0,1.9,2.2,1.6,2.0
GJA1,1.0,1.5,1.8,1.2,1.5,1.0,1.7,2.0,1.3,1.7,1.0,1.9,2.3,1.5,2.0
HAS1,1.0,1.5,1.7,1.3,1.5,1.0,1.7,1.9,1.4,1.7,1.0,1.8,2.1,1.6,1.8
OTX2,1.0,1.6,1.7,1.5,1.6,1.0,1.7,1.9,1.6,1.7,1.0,1.8,2.1,1.6,1.9
PAK1,1.0,1.5,1.6,1.2,1.5,1.0,1.6,1.8,1.3,1.6,1.0,1.7,2.0,1.4,1.8
PTK2,1.0,1.5,1.7,1.3,1.5,1.0,1.7,1.9,1.5,1.7,1.0,1.8,2.1,1.5,1.9
RAC1,1.0,1.5,1.6,1.3,1.5,1.0,1.7,1.8,1.5,1.7,1.0,1.9,2.1,1.6,1.9
RHOA,1.0,1.5,1.8,1.4,1.5,1.0,1.7,2.0,1.5,1.7,1.0,1.9,2.3,1.7,2.0
ROCK1,1.0,1.5,1.8,1.3,1.6,1.0,1.7,2.0,1.4,1.8,1.0,1.9,2.3,1.6,2.0
SYNE1,1.0,1.7,2.0,1.3,1.7,1.0,1.8,2.1,1.4,1.8,1.0,1.9,2.3,1.4,2.0
SUN1,1.0,1.5,1.8,1.2,1.5,1.0,1.6,2.0,1.3,1.7,1.0,1.8,2.2,1.4,1.9
TGFB1,1.0,1.8,2.0,1.5,1.8,1.0,1.8,2.0,1.5,1.8,1.0,1.8,2.0,1.7,1.8
TLN1,1.0,1.5,1.7,1.3,1.5,1.0,1.7,1.9,1.5,1.7,1.0,1.9,2.3,1.6,2.0
TUBB3,1.0,1.5,1.7,1.3,1.5,1.0,1.7,1.9,1.4,1.7,1.0,1.9,2.2,1.6,1.9
TWIST1,1.0,1.5,1.8,1.3,1.6,1.0,1.7,2.1,1.5,1.8,1.0,2.0,2.4,1.7,2.0
WNT3,1.0,1.8,2.0,1.5,1.8,1.0,1.9,2.2,1.6,2.0,1.0,2.1,2.4,1.8,2.1
