Chemical Components for H+Membrane,Weight %,Company,Catalogue number
polyurethane (PU),23.1 %,Sigma Aldrich,81367-5G
polyvinylchloride (PVC),9.9 %,Sigma Aldrich,81387-250G
"potassium tetrakis[3,5-bis(trifluoromethyl)phenyl]borate (KTFPB)",0.5 %,Sigma Aldrich,60588-10MG
hydrogen ionophore I (H+ionophore),1 %,Sigma Aldrich,95292-100MG
bis(2-ethylhexyl) sebacate (DOS),65.5 %,Sigma Aldrich,84818-25ML
Chemical Components for Ca2+Membrane,Weight %,,
polyurethane (PU),10.0 %,Sigma Aldrich,81367-5G
polyvinylchloride (PVC),19.0 %,Sigma Aldrich,81387-250G
potassium tetrakis[4- chloropheny) borate (KTpCPB),0.7 %,Sigma Aldrich,60591-100MG
calcium ionophore I (Ca2+ionophore),1.0 %,Sigma Aldrich,21193-100MG
bis (2-ethylhexyl) sebacate,69.3 %,,84818-25ML
Chemical Components for CO32-Membrane,Weight %,,
polyurethane (PU),17.8 %,Sigma Aldrich,81367-5G
polyvinylchloride (PVC),18.2 %,Sigma Aldrich,81387-250G
Tridodecylmethylammonium chloride (tmACl),1.0 %,Sigma Aldrich,91661-100MG
Carbonate ionophore IV (CO32-ionophore),9.0 %,Sigma Aldrich,21856-1EA
Bis(2-ethylhexyl) sebacate,54.0 %,Sigma Aldrich,84818-25ML
