,WT,KitW/W-v,ANOVA (P<)
,,,
Intact,Ovx,Intact,Ovx,Genotype,Surgery,Interaction
,,
Total Tibia
Bone length (mm),17.10 ± 0.08,17.58 ± 0.10,17.00 ± 0.09,17.37 ± 0.14,NS,0.001,NS
Bone volume (mm3),14.78 ± 0.42,12.80 ± 0.26,13.23 ± 0.29,12.51 ± 0.29,0.01,0.001,NS
Tibial Diaphysis(cortical bone)
Tissue volume (mm3),0.154 ± 0.004,0.156 ± 0.002,0.140 ± 0.002,0.138 ± 0.002,0.001,NS,NS
Cortical volume (mm3),0.118 ± 0.002,0.114 ± 0.002,0.110 ± 0.002,0.102 ± 0.002,0.001,0.01,NS
Marrow volume (mm3),0.036 ± 0.002,0.042 ± 0.002,0.030 ± 0.002,0.036 ± 0.002,0.001,0.001,NS
Cortical thickness (μm),260 ± 5,245 ± 2,259 ± 4,235 ± 6,NS,0.001,NS
Proximal Tibial Metaphysis(cancellous bone)
Bone volume/Tissue volume (%),6.75 ± 0.35,1.99 ± 0.21,6.74 ± 1.28,1.94 ± 0.30,NS,0.001,NS
Connectivity density (1/mm3),50.62 ± 7.40,6.48 ± 1.29,43.66 ± 15.85,5.05 ± 1.31,NS,0.001,NS
Trabecular number (1/mm),3.69 ± 0.07,2.87 ± 0.13,3.93± 0.32,2.68 ± 0.10,NS,0.001,NS
Trabecular thickness (μm),40 ± 1,35 ± 2,37 ± 2,30 ± 2,0.04,0.001,NS
Trabecular spacing (μm),276 ± 6,366 ± 16,263 ± 18,380 ± 16,NS,0.001,NS
3rd Lumbar Vertebra(cancellous bone)
Bone volume/Tissue volume (%),12.36 ± 0.74,8.20 ± 0.31,13.68 ± 0.43,8.93 ± 0.42,0.05,0.001,NS
Connectivity density (1/mm3),156.70 ± 13.90,90.73 ± 5.91,147.63 ± 7.70,90.82 ± 7.01,NS,0.001,NS
Trabecular number (1/mm),4.47 ± 0.18,3.92 ± 0.06,4.37 ± 0.08,3.68 ± 0.06,NS,0.001,NS
Trabecular thickness (μm),40 ± 1,36 ± 0,44 ± 1,38 ± 1,0.001,0.001,NS
Trabecular spacing (μm),228 ± 9,259 ± 4,235 ± 4,277 ± 4,0.04,0.001,NS
