NFWR,Limb sampled,Colony Forming Units,Closest match
134,Right Back,4,Exiguobacterium acetylicum⧫;Micrococcus luteus/lylae
,Right Front*,17,Kocuria kristinae;Micrococcus luteus/lylae
135,Right Back,11,Curtobacterium flaccumfaciens⧫;Bacillus megaterium; Unidentified Gram positive species (2 morphologically different colonies)
,Right Front,1,Micrococcus luteus/lylae
,Left Back,4,Staphylococcus hominis
,Left Front,18,Brevibacterium casei⧫;Kocuria kristinae;Staphylococcus sciuri;Micrococcus luteus/lylae
136,Left Front,TNTC,Bacillus licheniformis⧫;Micrococcus luteus/lylae;Staphylococcus warneri
,Left Back,TNTC,Exiguobacterium acetylicum⧫;Bacillus megaterium;Staphylococcus hominus/novobisepticus; Unidentified Gram positive species
137,Right Front,1,Micrococcus luteus/lylae
,Right Back,6,Staphylococcus vitulinus;Micrococcus luteus/lylae(2 morphologically different colonies); Unidentified Gram positive species
,Left Front,TNTC,Dermacoccusspecies/Kytococcusspecies;Gemella morbillorum;Micrococcus luteus/lylae;
,,,Unidentified species - unable to isolate
138,Left Front,2,Dermacoccus/Kytococcusspecies
,Left Back*,1,Bacillus megatarium
139,Lower Lip,1,Micrococcus luteus/lytae
,Left Back,TNTC,"Brevibacterium casei⧫,Brevundimonas diminuta/vesicularis(2 morphologically different colonies);Brevundimonas diminuta/vesicularis;Micrococcus luteus/lylae"
,Left Front,7,Bacillus lentus
,Right Front,4,Pantoea agglomerans
,Right Back,2,Pantoeaspecies
