,Strain (year-#),Identifier (by NASA),Sample Collection Date,Microbial Identification
2009,2009-1,092160068-1,5/4/09,Ralstonia pickettii
2009-2,092950004-2,9/22/09,Sphingomonas sanguinis
2009-3,092570005-1,8/4/09,Cupriavidus metallidurans
2012,2012-1*,121850007-1,5/15/12,BccBurkholderia multivorans*→B. cepacia s37
2012-2,121850007-2,5/15/12,Ralstonia pickettii
2012-3,121560039-2,5/15/12,Ralstonia insidiosa
2012-4,121850020-1,5/15/12,Sphingomonas sanguinis
2012-5,121850020-3,5/15/12,Methylobacterium species
2012-6,130770013-1,12/12/12,Ralstonia insidiosa
2014,2014-1*,140710050-1,2/3/14,BccBurkholderia multivorans*→B. contaminans s52
2014-2*,140710038-1,2/3/14,BccBurkholderia species*→B. contaminans s54
2014-3,140710038-2,2/3/14,Ralstonia pickettii
2014-4,142550027-2,8/6/14,Ralstonia insidiosa
2014-5,142550019-1,6/16/14,Bradyrhizobium species
2014-6,142550021-2,8/6/14,Mesorhizobium species
2014-7,150790064-1,12/31/14,Staphylococcus epidermidis
